"","Matricula","Plantel","Turno","Estatus","Materias","Cal","Anho","PeriodoCert","Gen","Lic","Periodo"
"597","05-003-3233","GAM","V","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","C","21","Segundo","05","Derecho",1-12-21
"598","05-003-3233","GAM","V","ACTIVO","DERECHO INDIGENA","C","21","Segundo","05","Derecho",1-12-21
"599","05-003-3233","GAM","V","ACTIVO","SEMINARIO DE TESIS","C","21","Segundo","05","Derecho",1-12-21
"600","05-003-3233","GAM","V","ACTIVO","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","C","21","Segundo","05","Derecho",1-12-21
"601","05-003-3233","GAM","V","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","C","21","Segundo","05","Derecho",1-12-21
"602","05-003-3233","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","21","Segundo","05","Derecho",1-12-21
"603","05-003-3233","GAM","V","ACTIVO","INGLES I","C","22","Primer","05","Derecho",1-06-22
"604","05-005-2855","PESCER","M","ACTIVO","DERECHO INTERNACIONAL PRIVADO","C","20","Segundo","05","Derecho",1-09-20
"605","05-005-2855","PESCER","M","ACTIVO","SOCIOLOGIA JURIDICA","NC","21","Primer","05","Derecho",1-01-21
"606","05-005-2855","GAM","M","ACTIVO","HISTORIA DEL DERECHO","C","21","Primer","05","Derecho",1-04-21
"607","05-005-3325","PESCER","M","ACTIVO","DERECHO CONSTITUCIONAL","NC","20","Segundo","05","Derecho",1-09-20
"608","05-005-3325","PESCER","M","ACTIVO","LENGUAJE Y PENSAMIENTO I","NC","20","Segundo","05","Derecho",1-09-20
"609","05-005-3325","PESCER","M","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","NC","20","Segundo","05","Derecho",1-09-20
"610","05-005-3325","PESCER","M","ACTIVO","SOCIOLOGIA JURIDICA","NC","20","Segundo","05","Derecho",1-09-20
"611","05-005-3325","PESCER","M","ACTIVO","DERECHO INTERNACIONAL PRIVADO","NC","20","Segundo","05","Derecho",1-09-20
"612","05-005-3325","PESCER","M","ACTIVO","SOCIOLOGIA JURIDICA","NC","21","Primer","05","Derecho",1-01-21
"613","05-006-2844","PESCER","M","ACTIVO","DERECHO CONSTITUCIONAL","NC","20","Segundo","05","Derecho",1-09-20
"614","05-006-2844","PESCER","M","ACTIVO","TEORIA DE LA NORMA PENAL","NC","20","Segundo","05","Derecho",1-09-20
"615","05-006-2844","PESCER","M","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","NC","20","Segundo","05","Derecho",1-09-20
"616","05-006-2844","PESCER","M","ACTIVO","SOCIOLOGIA JURIDICA","NC","20","Segundo","05","Derecho",1-09-20
"617","05-006-2844","PESCER","M","ACTIVO","PERSONA Y FAMILIA","NC","20","Segundo","05","Derecho",1-09-20
"618","05-006-2844","PESCER","M","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","NC","21","Primer","05","Derecho",1-01-21
"619","05-006-2844","PESCER","M","ACTIVO","SOCIOLOGIA JURIDICA","NC","21","Primer","05","Derecho",1-01-21
"620","06-003-0645","GAM","V","ACTIVO","DERECHO LABORAL","C","20","Primer","06","Derecho",1-06-20
"621","06-003-0645","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","C","20","Primer","06","Derecho",1-06-20
"622","06-003-0645","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","C","20","Primer","06","Derecho",1-06-20
"623","06-003-0645","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","NC","20","Primer","06","Derecho",1-06-20
"624","06-003-0645","GAM","V","ACTIVO","DERECHO FISCAL","C","20","Primer","06","Derecho",1-06-20
"625","06-003-0645","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","NC","20","Segundo","06","Derecho",1-09-20
"626","06-003-0645","GAM","V","ACTIVO","TEORIA DEL ESTADO","NC","20","Segundo","06","Derecho",1-09-20
"627","06-003-0645","GAM","V","ACTIVO","OBLIGACIONES","NC","20","Segundo","06","Derecho",1-09-20
"628","06-003-0645","GAM","V","ACTIVO","DERECHO MERCANTIL","C","21","Primer","06","Derecho",1-01-21
"629","06-003-0645","GAM","V","ACTIVO","CLINICA PROCESAL","C","21","Primer","06","Derecho",1-01-21
"630","06-003-0645","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","NC","21","Primer","06","Derecho",1-01-21
"631","06-003-0645","GAM","V","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","C","21","Primer","06","Derecho",1-01-21
"632","06-003-0645","GAM","V","ACTIVO","DERECHO ADMINISTRATIVO","C","21","Primer","06","Derecho",1-01-21
"633","06-003-0645","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","C","21","Primer","06","Derecho",1-01-21
"634","06-003-0645","GAM","V","ACTIVO","DERECHO AGRARIO","C","21","Primer","06","Derecho",1-01-21
"635","06-003-0645","GAM","V","ACTIVO","OBLIGACIONES","C","21","Primer","06","Derecho",1-06-21
"636","06-003-0645","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","NC","21","Primer","06","Derecho",1-06-21
"637","06-003-0645","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","NC","21","Primer","06","Derecho",1-06-21
"638","06-003-0645","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","C","21","Primer","06","Derecho",1-06-21
"639","06-003-0645","GAM","V","ACTIVO","DERECHO AMBIENTAL","NC","21","Primer","06","Derecho",1-06-21
"640","06-003-0645","GAM","V","ACTIVO","DERECHO DE AMPARO","C","21","Primer","06","Derecho",1-06-21
"641","06-003-0645","GAM","V","ACTIVO","TEORIA DEL ESTADO","C","21","Segundo","06","Derecho",1-12-21
"642","06-003-0645","GAM","V","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","C","21","Segundo","06","Derecho",1-12-21
"643","06-003-0645","GAM","V","ACTIVO","SEMINARIO DE TESIS","C","21","Segundo","06","Derecho",1-12-21
"644","06-003-0645","GAM","V","ACTIVO","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","C","21","Segundo","06","Derecho",1-12-21
"645","06-003-0645","GAM","V","ACTIVO","BIENES Y SUCESIONES","C","21","Segundo","06","Derecho",1-12-21
"646","06-003-0645","GAM","V","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","C","21","Segundo","06","Derecho",1-12-21
"647","06-003-0645","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","21","Segundo","06","Derecho",1-12-21
"648","06-003-0645","GAM","V","ACTIVO","DERECHO INDIGENA","C","21","Segundo","06","Derecho",1-12-21
"649","06-003-0645","GAM","V","ACTIVO","DERECHO INTERNACIONAL PRIVADO","C","21","Segundo","06","Derecho",1-09-21
"650","06-003-0645","GAM","V","ACTIVO","HISTORIA DEL DERECHO","NC","22","Primer","06","Derecho",1-03-22
"651","06-003-0645","GAM","V","ACTIVO","DERECHO AMBIENTAL","C","22","Primer","06","Derecho",1-06-22
"652","06-003-0645","GAM","V","ACTIVO","LENGUAJE Y PENSAMIENTO III","C","22","Primer","06","Derecho",1-06-22
"653","06-003-0645","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","C","22","Primer","06","Derecho",1-06-22
"654","06-003-1850","GAM","M","ACTIVO","TEORIA GENERAL DEL PROCESO","C","21","Primer","06","Derecho",1-01-21
"655","06-003-1850","GAM","M","ACTIVO","ARGUMENTACION JURIDICA","C","21","Primer","06","Derecho",1-01-21
"656","06-003-1850","SLT","M","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS II","C","21","Primer","06","Derecho",1-01-21
"657","06-003-1850","GAM","M","ACTIVO","DERECHO AGRARIO","C","21","Primer","06","Derecho",1-01-21
"658","06-003-1850","SLT","M","ACTIVO","LENGUAJE Y PENSAMIENTO III","C","21","Primer","06","Derecho",1-01-21
"659","06-003-1850","GAM","M","ACTIVO","LEGALIDAD SOCIAL DEL DERECHO","C","21","Primer","06","Derecho",1-01-21
"660","06-003-1850","SLT","M","ACTIVO","PROBLEMAS JURIDICOS CONTEMPORANEOS","C","21","Primer","06","Derecho",1-01-21
"661","06-003-1850","GAM","M","ACTIVO","TEORIA DEL ESTADO","C","21","Primer","06","Derecho",1-01-21
"662","06-003-1850","GAM","M","ACTIVO","PERSONA Y FAMILIA","C","21","Primer","06","Derecho",1-06-21
"663","06-003-1850","GAM","M","ACTIVO","DERECHO CONSTITUCIONAL","C","21","Primer","06","Derecho",1-06-21
"664","06-003-1850","GAM","M","ACTIVO","TEORIA DE LA NORMA PENAL","C","21","Primer","06","Derecho",1-06-21
"665","06-003-1850","GAM","M","ACTIVO","OBLIGACIONES","C","21","Primer","06","Derecho",1-06-21
"666","06-003-1850","GAM","M","ACTIVO","PROCESOS EN PARTICULAR","C","21","Primer","06","Derecho",1-06-21
"667","06-003-1850","GAM","M","ACTIVO","FILOSOFIA DEL DERECHO","C","21","Primer","06","Derecho",1-06-21
"668","06-003-1850","SLT","M","ACTIVO","ELEMENTOS BASICOS DEL DERECHO","C","21","Primer","06","Derecho",1-06-21
"669","06-003-1850","SLT","M","ACTIVO","DERECHOS HUMANOS","NC","21","Primer","06","Derecho",1-06-21
"670","06-003-2649","DV","V","EGRESADO","HEGEL","C","20","Primer","06","Derecho",1-06-20
"671","06-003-2649","DV","V","EGRESADO","HUMANISMO Y ANTROPOLOGIA","C","20","Primer","06","Derecho",1-06-20
"672","06-003-2649","GAM","V","EGRESADO","MICHEL FOUCAULT","C","21","Primer","06","Derecho",1-06-21
"673","06-003-2649","DV","V","EGRESADO","MARX Y LA FILOSOFIA","C","21","Primer","06","Derecho",1-06-21
"674","06-003-2649","DV","V","EGRESADO","HEGEL II","C","21","Primer","06","Derecho",1-04-21
"675","06-003-2649","SLT","V","EGRESADO","IGUALDAD SOCIAL","C","21","Primer","06","Derecho",1-04-21
"676","06-003-2649","GAM","V","EGRESADO","HISTORIA DE LAS IDEAS POLITICAS","C","21","Segundo","06","Derecho",1-12-21
"677","06-003-2649","DV","V","EGRESADO","TALLER DE PENSAMIENTO CRITICO","NC","21","Segundo","06","Derecho",1-12-21
"678","06-003-2649","DV","V","EGRESADO","METAFISICA","NC","22","Primer","06","Derecho",1-06-22
"679","06-003-2649","DV","V","EGRESADO","EL TRACTUS LOGICOPHILOSOPHICUS DE L. WIGTGENSTEIN","C","22","Primer","06","Derecho",1-06-22
"680","06-008-0017","PESCER","M","EGRESADO","DERECHO DE AMPARO","NC","20","Segundo","06","Derecho",1-09-20
"681","06-008-0017","SLT","M","EGRESADO","ACTORES SOCIALES MOVIMIENTOS SOCIALES Y SOCIEDAD CIVIL. APORTES TEORICOS","C","21","Primer","06","Derecho",1-01-21
"682","06-008-0017","SLT","M","EGRESADO","ESTRUCTURA SOCIAL DEL MEXICO CONTEMPORANEO","C","21","Primer","06","Derecho",1-01-21
"683","07-010-0009","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","C","22","Primer","07","Derecho",1-06-22
"684","07-010-0022","PESCER","M","ACTIVO","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","C","20","Segundo","07","Derecho",1-09-20
"685","07-010-0022","PESCER","M","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","C","21","Primer","07","Derecho",1-01-21
"686","07-010-0022","PESCER","M","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","NC","21","Primer","07","Derecho",1-01-21
"687","07-010-0022","PESCER","M","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","NC","21","Primer","07","Derecho",1-01-21
"688","07-010-0022","PESCER","M","ACTIVO","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","C","21","Segundo","07","Derecho",1-12-21
"689","07-010-0022","PESCER","M","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","NC","21","Segundo","07","Derecho",1-12-21
"690","07-010-0022","PESCER","M","ACTIVO","SEMINARIO DE TESIS","C","22","Primer","07","Derecho",1-06-22
"691","07-011-0085","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","C","20","Primer","07","Derecho",1-06-20
"692","07-011-0085","GAM","V","ACTIVO","TEORIA DE LA NORMA PENAL","C","20","Primer","07","Derecho",1-06-20
"693","07-011-0085","GAM","V","ACTIVO","DERECHO CONSTITUCIONAL","C","20","Primer","07","Derecho",1-06-20
"694","07-011-0085","GAM","V","ACTIVO","FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO","C","20","Primer","07","Derecho",1-06-20
"695","07-011-0085","GAM","V","ACTIVO","SOCIOLOGIA JURIDICA","C","20","Primer","07","Derecho",1-06-20
"696","07-011-0085","GAM","V","ACTIVO","PERSONA Y FAMILIA","C","20","Primer","07","Derecho",1-06-20
"697","07-011-0085","GAM","V","ACTIVO","DERECHO ADMINISTRATIVO","C","21","Primer","07","Derecho",1-01-21
"698","07-011-0085","GAM","V","ACTIVO","TEORIA GENERAL DEL PROCESO","C","21","Primer","07","Derecho",1-01-21
"699","07-011-0085","GAM","V","ACTIVO","DERECHO AGRARIO","C","21","Primer","07","Derecho",1-01-21
"700","07-011-0085","GAM","V","ACTIVO","BIENES Y SUCESIONES","C","21","Primer","07","Derecho",1-01-21
"701","07-011-0085","GAM","V","ACTIVO","DELITOS EN PARTICULAR","C","21","Primer","07","Derecho",1-01-21
"702","07-011-0085","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","C","21","Primer","07","Derecho",1-06-21
"703","07-011-0085","GAM","V","ACTIVO","OBLIGACIONES","C","21","Primer","07","Derecho",1-06-21
"704","07-011-0085","GAM","V","ACTIVO","DERECHO LABORAL","C","21","Primer","07","Derecho",1-06-21
"705","07-011-0085","GAM","V","ACTIVO","DERECHO FISCAL","C","21","Primer","07","Derecho",1-06-21
"706","07-011-0085","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","C","21","Primer","07","Derecho",1-06-21
"707","07-011-0085","GAM","V","ACTIVO","DERECHO MERCANTIL","C","21","Segundo","07","Derecho",1-12-21
"708","07-011-0085","GAM","V","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","C","21","Segundo","07","Derecho",1-12-21
"709","07-011-0085","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","21","Segundo","07","Derecho",1-12-21
"710","07-011-0085","GAM","V","ACTIVO","CONTRATOS","C","21","Segundo","07","Derecho",1-12-21
"711","07-011-0085","GAM","V","ACTIVO","CLINICA PROCESAL","C","21","Segundo","07","Derecho",1-12-21
"712","07-011-0085","GAM","V","ACTIVO","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","C","22","Primer","07","Derecho",1-06-22
"713","07-011-0085","GAM","V","ACTIVO","DERECHO AMBIENTAL","C","22","Primer","07","Derecho",1-06-22
"714","07-011-0085","GAM","V","ACTIVO","DERECHO DE AMPARO","C","22","Primer","07","Derecho",1-06-22
"715","07-011-0085","GAM","V","ACTIVO","DERECHO INTERNACIONAL PRIVADO","C","22","Primer","07","Derecho",1-06-22
"716","07-011-0085","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","C","22","Primer","07","Derecho",1-06-22
"717","07-011-0214","CH","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","NC","20","Primer","07","Derecho",1-06-20
"718","07-011-0214","CH","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA I","NC","20","Primer","07","Derecho",1-06-20
"719","07-011-0214","CH","V","ACTIVO","LENGUAJE Y PENSAMIENTO I","NC","20","Primer","07","Derecho",1-06-20
"720","07-011-0214","CH","V","ACTIVO","LENGUAJE Y PENSAMIENTO III","NC","20","Primer","07","Derecho",1-06-20
"721","07-011-0214","GAM","V","ACTIVO","LEGALIDAD SOCIAL DEL DERECHO","C","21","Primer","07","Derecho",1-01-21
"722","07-011-0214","GAM","V","ACTIVO","ARGUMENTACION JURIDICA","C","21","Primer","07","Derecho",1-01-21
"723","07-011-0214","GAM","V","ACTIVO","TEORIA DEL ESTADO","NC","21","Primer","07","Derecho",1-01-21
"724","07-011-0214","GAM","V","ACTIVO","HISTORIA DEL DERECHO","C","21","Primer","07","Derecho",1-01-21
"725","07-011-0214","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","C","21","Primer","07","Derecho",1-01-21
"726","07-011-0375","GAM","V","ACTIVO","PERSONA Y FAMILIA","NC","20","Primer","07","Derecho",1-06-20
"727","07-011-0375","GAM","V","ACTIVO","DERECHO CONSTITUCIONAL","C","20","Primer","07","Derecho",1-06-20
"728","07-011-0375","GAM","V","ACTIVO","SOCIOLOGIA JURIDICA","C","20","Primer","07","Derecho",1-06-20
"729","07-011-0539","GAM","V","ACTIVO","DERECHO LABORAL","C","20","Primer","07","Derecho",1-06-20
"730","07-011-0539","GAM","V","ACTIVO","ELEMENTOS BASICOS DEL DERECHO","C","20","Primer","07","Derecho",1-06-20
"731","07-011-0539","GAM","V","ACTIVO","FUNDAMENTOS CONSTITUCIONALES DEL ESTADO MEXICANO","C","20","Primer","07","Derecho",1-06-20
"732","07-011-0539","GAM","V","ACTIVO","OBLIGACIONES","C","20","Primer","07","Derecho",1-06-20
"733","07-011-0539","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","C","20","Primer","07","Derecho",1-06-20
"734","07-011-0539","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","C","20","Primer","07","Derecho",1-06-20
"735","07-011-0539","GAM","V","ACTIVO","DERECHO FISCAL","C","20","Primer","07","Derecho",1-06-20
"736","07-011-0539","GAM","V","ACTIVO","DERECHO AMBIENTAL","C","20","Primer","07","Derecho",1-06-20
"737","07-011-0539","GAM","V","ACTIVO","DERECHO MERCANTIL","C","21","Primer","07","Derecho",1-01-21
"738","07-011-0539","GAM","V","ACTIVO","CONTRATOS","C","21","Primer","07","Derecho",1-01-21
"739","07-011-0539","GAM","V","ACTIVO","SEMINARIO DE TESIS","C","21","Primer","07","Derecho",1-01-21
"740","07-011-0539","GAM","V","ACTIVO","DERECHO INDIGENA","NC","21","Primer","07","Derecho",1-01-21
"741","07-011-0539","GAM","V","ACTIVO","CLINICA PROCESAL","C","21","Primer","07","Derecho",1-01-21
"742","07-011-0539","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","21","Primer","07","Derecho",1-01-21
"743","07-011-0539","GAM","V","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","C","21","Primer","07","Derecho",1-01-21
"744","07-011-0539","GAM","V","ACTIVO","ANTROPOLOGIA JURIDICA","C","21","Primer","07","Derecho",1-01-21
"745","07-011-0539","GAM","V","ACTIVO","DERECHO INTERNACIONAL PRIVADO","C","21","Primer","07","Derecho",1-06-21
"746","07-011-0539","CH","V","ACTIVO","LECTURA DE TEXTOS EN INGLES II","C","21","Primer","07","Derecho",1-06-21
"747","07-011-0539","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","C","21","Primer","07","Derecho",1-06-21
"748","07-011-0539","GAM","V","ACTIVO","LECTURA DE TEXTOS EN INGLES I","C","21","Primer","07","Derecho",1-06-21
"749","07-011-0539","GAM","V","ACTIVO","DERECHO DE AMPARO","C","21","Primer","07","Derecho",1-06-21
"750","07-011-0539","GAM","V","ACTIVO","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","C","21","Primer","07","Derecho",1-06-21
"751","07-011-0539","CH","V","ACTIVO","LECTURA DE TEXTOS EN INGLES III","C","21","Primer","07","Derecho",1-06-21
"752","07-011-0539","GAM","V","ACTIVO","DERECHO INDIGENA","C","21","Primer","07","Derecho",1-04-21
"753","07-011-0539","GAM","V","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","C","21","Segundo","07","Derecho",1-12-21
"754","07-011-0539","GAM","V","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","C","21","Segundo","07","Derecho",1-12-21
"755","07-011-0539","GAM","V","ACTIVO","DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS","NC","21","Segundo","07","Derecho",1-12-21
"756","07-011-0906","GAM","V","ACTIVO","DERECHO DE AMPARO","NC","20","Primer","07","Derecho",1-06-20
"757","07-011-0906","GAM","V","ACTIVO","BIENES Y SUCESIONES","C","20","Primer","07","Derecho",1-06-20
"758","07-011-0906","GAM","V","ACTIVO","TEORIA GENERAL DEL PROCESO","NC","20","Primer","07","Derecho",1-06-20
"759","07-011-0906","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","NC","20","Primer","07","Derecho",1-06-20
"760","07-011-0906","GAM","V","ACTIVO","DERECHO FISCAL","C","20","Primer","07","Derecho",1-06-20
"761","07-011-0906","GAM","V","ACTIVO","OBLIGACIONES","C","20","Primer","07","Derecho",1-06-20
"762","07-011-0906","GAM","V","ACTIVO","SOCIOLOGIA JURIDICA","NC","20","Segundo","07","Derecho",1-09-20
"763","07-011-0906","GAM","V","ACTIVO","TEORIA DEL ESTADO","NC","20","Segundo","07","Derecho",1-09-20
"764","07-011-0906","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","20","Segundo","07","Derecho",1-09-20
"765","07-011-0906","GAM","V","ACTIVO","TEORIA GENERAL DEL PROCESO","NC","21","Primer","07","Derecho",1-01-21
"766","07-011-0906","GAM","V","ACTIVO","TEORIA DEL ESTADO","NC","21","Primer","07","Derecho",1-01-21
"767","07-011-0906","GAM","V","ACTIVO","DERECHO ADMINISTRATIVO","C","21","Primer","07","Derecho",1-01-21
"768","07-011-0906","GAM","V","ACTIVO","BIENES Y SUCESIONES","C","21","Primer","07","Derecho",1-01-21
"769","07-011-0906","GAM","V","ACTIVO","DELITOS EN PARTICULAR","NC","21","Primer","07","Derecho",1-01-21
"770","07-011-0906","GAM","V","ACTIVO","BIENES Y SUCESIONES","NC","21","Primer","07","Derecho",1-06-21
"771","07-011-0906","GAM","V","ACTIVO","CONTRATOS","NC","21","Primer","07","Derecho",1-06-21
"772","07-011-0906","GAM","V","ACTIVO","ELEMENTOS BASICOS DEL DERECHO","C","21","Primer","07","Derecho",1-06-21
"773","07-011-0906","GAM","V","ACTIVO","CONTRATOS","C","21","Segundo","07","Derecho",1-12-21
"774","07-011-0906","GAM","V","ACTIVO","BIENES Y SUCESIONES","C","21","Segundo","07","Derecho",1-12-21
"775","07-011-0906","GAM","V","ACTIVO","PROBLEMAS JURIDICOS CONTEMPORANEOS","C","21","Segundo","07","Derecho",1-12-21
"776","07-011-0906","GAM","V","ACTIVO","TEORIA DEL ESTADO","C","21","Segundo","07","Derecho",1-12-21
"777","07-011-0923","GAM","V","ACTIVO","TEORIA DE LA NORMA PENAL","C","20","Primer","07","Derecho",1-06-20
"778","07-011-0923","GAM","V","ACTIVO","DERECHO AMBIENTAL","C","20","Primer","07","Derecho",1-06-20
"779","07-011-0923","GAM","V","ACTIVO","PROCESOS EN PARTICULAR","C","20","Primer","07","Derecho",1-06-20
"780","07-011-0923","GAM","V","ACTIVO","FILOSOFIA DEL DERECHO","C","20","Primer","07","Derecho",1-06-20
"781","07-011-0923","GAM","V","ACTIVO","SOCIOLOGIA JURIDICA","C","20","Primer","07","Derecho",1-06-20
"782","07-011-0923","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA III","C","21","Primer","07","Derecho",1-06-21
"783","07-011-0923","GAM","V","ACTIVO","REGIMEN JURIDICO DEL DISTRITO FEDERAL","C","21","Primer","07","Derecho",1-06-21
"784","07-011-0923","GAM","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS III","NC","21","Primer","07","Derecho",1-06-21
"785","07-011-0923","GAM","V","ACTIVO","LENGUAJE Y PENSAMIENTO III","C","21","Primer","07","Derecho",1-06-21
"786","07-011-0923","GAM","V","ACTIVO","REGIMEN DE COMERCIO EXTERIOR","C","21","Primer","07","Derecho",1-06-21
"787","07-011-0923","GAM","V","ACTIVO","DERECHO INTERNACIONAL PRIVADO","NC","21","Primer","07","Derecho",1-06-21
"788","07-011-0923","GAM","V","ACTIVO","DERECHO DE AMPARO","C","21","Primer","07","Derecho",1-06-21
"789","07-011-0923","GAM","V","ACTIVO","METODOS Y TECNICAS DE INVESTIGACION","C","21","Segundo","07","Derecho",1-12-21
"790","07-011-0923","GAM","V","ACTIVO","INTRODUCCION A LA FILOSOFIA","C","21","Segundo","07","Derecho",1-12-21
"791","07-011-0923","GAM","V","ACTIVO","DERECHO INDIGENA","C","21","Segundo","07","Derecho",1-12-21
"792","07-011-0923","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA II","C","21","Segundo","07","Derecho",1-12-21
"793","07-011-0923","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","C","21","Segundo","07","Derecho",1-12-21
"794","07-011-0923","GAM","V","ACTIVO","LENGUAJE Y PENSAMIENTO II","C","21","Segundo","07","Derecho",1-12-21
"795","07-011-0923","GAM","V","ACTIVO","TEORIA GENERAL DE LOS DERECHOS HUMANOS","C","21","Segundo","07","Derecho",1-12-21
"796","07-011-0923","GAM","V","ACTIVO","SISTEMA NO JURISDICCIONAL DE LOS DERECHOS HUMANOS","NC","21","Segundo","07","Derecho",1-12-21
"797","07-011-0923","GAM","V","ACTIVO","INGLES II","C","21","Segundo","07","Derecho",1-12-21
"798","07-011-0923","GAM","V","ACTIVO","CULTURA CIENTIFICA Y HUMANISTICA I","C","22","Primer","07","Derecho",1-06-22
"799","07-011-0923","GAM","V","ACTIVO","DELIMITACIONES DEL OBJETO DE INVESTIGACION JURIDICA","C","22","Primer","07","Derecho",1-06-22
"800","07-011-0923","GAM","V","ACTIVO","DERECHO CONSTITUCIONAL","NC","22","Primer","07","Derecho",1-06-22
"801","07-011-0923","GAM","V","ACTIVO","DERECHO INTERNACIONAL PRIVADO","C","22","Primer","07","Derecho",1-06-22
"802","07-011-0923","GAM","V","ACTIVO","ELEMENTOS BASICOS DEL DERECHO","C","22","Primer","07","Derecho",1-06-22
"803","07-011-0923","GAM","V","ACTIVO","ESTUDIOS SOCIALES E HISTORICOS III","C","22","Primer","07","Derecho",1-06-22
"804","07-011-0923","GAM","V","ACTIVO","LECTURA DE TEXTOS EN INGLES I","C","22","Primer","07","Derecho",1-06-22
"805","07-011-0923","GAM","V","ACTIVO","LECTURA DE TEXTOS EN INGLES III","C","22","Primer","07","Derecho",1-06-22
"806","07-011-0923","GAM","V","ACTIVO","PERSONA Y FAMILIA","C","22","Primer","07","Derecho",1-06-22
"807","08-009-0006","DV","V","EGRESADO","BIOETICA","NC","20","Segundo","08","Derecho",1-09-20
"808","08-009-0006","DV","V","EGRESADO","FILOSOFIA DE LA ECONOMIA","NC","20","Segundo","08","Derecho",1-09-20
"809","08-009-0006","DV","V","EGRESADO","FILOSOFIA POLITICA","NC","20","Segundo","08","Derecho",1-09-20
"810","08-009-0006","DV","V","EGRESADO","FILOSOFIA DEL DERECHO Y DEL ESTADO","NC","20","Segundo","08","Derecho",1-09-20
"811","08-009-0006","GAM","V","EGRESADO","ETICA","C","21","Primer","08","Derecho",1-01-21
"812","08-009-0006","DV","V","EGRESADO","FILOSOFIAS DEL SIGLO XX","C","21","Primer","08","Derecho",1-01-21
"813","08-009-0006","DV","V","EGRESADO","HISTORIA DE LAS IDEAS POLITICAS","NC","21","Primer","08","Derecho",1-06-21
"814","08-009-0017","GAM","V","ACTIVO","INGLES II","NC","20","Segundo","08","Derecho",1-09-20
"815","08-009-0017","GAM","V","ACTIVO","DERECHO INTERNACIONAL PUBLICO","NC","20","Segundo","08","Derecho",1-09-20
